live,slug,classroom_link
True,assignment-1,https://classroom.github.com/a/CGz9BQNG
True,assignment-2,https://classroom.github.com/a/coiOv0PU
True,assignment-3,https://classroom.github.com/a/z7wf0lbS
True,assignment-4,https://classroom.github.com/a/_ZVQ18JC
True,assignment-5,https://classroom.github.com/a/eUYIUqNa
True,assignment-6,https://classroom.github.com/a/0kf8DAMS
True,final-project-proposal,https://classroom.github.com/a/xAPP96O0
True,final-project,https://classroom.github.com/a/FX7-CcSS
