live,slug,classroom_link
True,assignment-1,https://classroom.github.com/a/jpzX7AF4
True,assignment-2,https://classroom.github.com/a/HDaP31zx
True,assignment-3,https://classroom.github.com/a/_r-fhCLn
True,assignment-4,https://classroom.github.com/a/0M2iqf-N
True,assignment-5,https://classroom.github.com/a/ukDo_3xe
True,assignment-6,https://classroom.github.com/a/I6ClJkqo
True,final-project-proposal,https://classroom.github.com/a/4WQ_dOz9
True,final-project,https://classroom.github.com/a/iA1Z_0Dv
